"","Id_Curso","Descripcion","n_curso","Hora","Ronda","weight","Id_Receptor","Id_Emisor"
"268",15,"Cuarto Basico",12,2017-09-08 10:59:53,15,10,436,433
"269",15,"Cuarto Basico",12,2017-09-08 10:53:07,1,4,436,434
"270",15,"Cuarto Basico",12,2017-09-08 10:55:20,5,0,436,435
"271",15,"Cuarto Basico",12,2017-09-08 10:56:13,7,2,436,437
"272",15,"Cuarto Basico",12,2017-09-08 11:00:48,17,10,436,438
"273",15,"Cuarto Basico",12,2017-09-08 10:55:48,6,2,436,444
"274",15,"Cuarto Basico",12,2017-09-08 10:57:58,11,0,436,445
"275",15,"Cuarto Basico",12,2017-09-08 10:53:31,2,2,436,448
"276",15,"Cuarto Basico",12,2017-09-08 10:57:07,9,10,436,450
"277",15,"Cuarto Basico",12,2017-09-08 10:53:31,2,4,437,430
"278",15,"Cuarto Basico",12,2017-09-08 10:54:19,3,1,437,432
"279",15,"Cuarto Basico",12,2017-09-08 10:57:25,10,2,437,433
"280",15,"Cuarto Basico",12,2017-09-08 10:58:59,13,10,437,434
"281",15,"Cuarto Basico",12,2017-09-08 11:00:48,17,2,437,435
"282",15,"Cuarto Basico",12,2017-09-08 10:56:13,7,1,437,436
"283",15,"Cuarto Basico",12,2017-09-08 10:58:08,12,10,437,438
"284",15,"Cuarto Basico",12,2017-09-08 10:53:04,1,0,437,444
"285",15,"Cuarto Basico",12,2017-09-08 10:55:46,6,0,437,445
"286",15,"Cuarto Basico",12,2017-09-08 10:59:24,14,1,437,448
"287",15,"Cuarto Basico",12,2017-09-08 10:54:50,4,10,437,450
"288",15,"Cuarto Basico",12,2017-09-08 10:55:19,5,5,438,430
"289",15,"Cuarto Basico",12,2017-09-08 10:58:59,13,2,438,432
"290",15,"Cuarto Basico",12,2017-09-08 10:54:25,3,10,438,433
"291",15,"Cuarto Basico",12,2017-09-08 10:55:49,6,7,438,434
"292",15,"Cuarto Basico",12,2017-09-08 10:57:25,10,2,438,435
"293",15,"Cuarto Basico",12,2017-09-08 11:00:51,17,10,438,436
"294",15,"Cuarto Basico",12,2017-09-08 10:58:18,12,10,438,437
"295",15,"Cuarto Basico",12,2017-09-08 10:57:45,11,6,438,444
"296",15,"Cuarto Basico",12,2017-09-08 11:00:05,16,10,438,445
"297",15,"Cuarto Basico",12,2017-09-08 10:56:29,7,5,438,448
"298",15,"Cuarto Basico",12,2017-09-08 10:59:31,14,10,438,450
"299",15,"Cuarto Basico",12,2017-09-08 11:00:47,17,5,444,430
"300",15,"Cuarto Basico",12,2017-09-08 10:53:32,2,2,444,432
"301",15,"Cuarto Basico",12,2017-09-08 10:57:06,9,3,444,433
"302",15,"Cuarto Basico",12,2017-09-08 10:58:16,12,4,444,434
"303",15,"Cuarto Basico",12,2017-09-08 11:00:08,16,2,444,435
"304",15,"Cuarto Basico",12,2017-09-08 10:55:46,6,2,444,436
